transaction_id,customer_id,amount,transaction_hour,account_age_days,previous_transaction_count,previous_chargeback_count,failed_payment_count,device_account_count,IP_account_count,billing_shipping_match,IP_shipping_match,payment_method,customer_country,shipping_country,device_age_days,transaction_frequency,average_transaction_amount,amount_deviation,is_new_device,is_new_location,velocity_1h,velocity_24h,previous_fraud_flag,chargeback_label
TXN-10065,CUSTOMER-11982,2548.67,3,268,13,0,0,1,1,1,1,credit_card,US,US,53,1.91,1579.97,1.61,0,0,0,1,0,0
TXN-10066,CUSTOMER-10996,3024.13,10,692,11,0,1,1,1,1,1,debit_card,IN,IN,418,4.46,1803.26,1.68,0,0,0,2,0,0
TXN-10067,CUSTOMER-14912,15858.44,8,564,36,0,2,6,6,1,1,debit_card,IN,IN,49,4.51,3159.39,5.02,0,0,0,1,0,1
TXN-10068,CUSTOMER-13343,1568.8,9,292,41,0,0,1,1,1,1,upi,IN,IN,356,2.5,2805.47,0.56,0,0,0,0,0,0
TXN-10069,CUSTOMER-14552,3013.91,5,702,17,0,1,2,6,1,1,upi,IN,IN,6,2.47,2177.33,1.38,1,0,0,2,0,1
TXN-10070,CUSTOMER-13799,1733.04,14,193,31,0,0,1,1,1,1,debit_card,IN,IN,249,1.24,2825.61,0.61,0,0,0,2,0,0
TXN-10071,CUSTOMER-11276,3308.62,9,370,19,0,1,1,1,1,1,debit_card,IN,IN,493,1.15,2963.55,1.12,0,0,0,1,0,0
TXN-10072,CUSTOMER-11017,1502.0,21,551,11,0,2,1,4,1,0,debit_card,IN,IN,452,0.65,3080.83,0.49,0,0,1,2,0,1
TXN-10073,CUSTOMER-10338,1751.46,20,77,24,0,0,1,1,1,1,debit_card,IN,IN,421,2.94,1571.84,1.11,0,0,1,3,0,0
TXN-10074,CUSTOMER-10879,5801.66,5,188,25,0,0,1,7,1,1,debit_card,SG,SG,4,3.66,3764.14,1.54,1,0,1,3,0,1
TXN-10075,CUSTOMER-11077,4286.13,0,606,9,3,0,1,1,1,1,net_banking,IN,IN,297,4.27,3415.87,1.25,0,0,1,2,1,1
TXN-10076,CUSTOMER-14888,8115.06,20,389,4,0,0,1,1,1,1,debit_card,IN,IN,397,3.86,4094.81,1.98,0,0,0,0,0,0
TXN-10077,CUSTOMER-13994,2938.91,21,24,28,0,1,1,1,1,1,credit_card,IN,IN,355,0.88,2488.94,1.18,0,0,0,2,0,0
TXN-10078,CUSTOMER-14860,585.64,23,614,25,0,0,4,7,1,1,upi,IN,IN,18,3.1,727.46,0.81,0,1,0,3,0,1
TXN-10079,CUSTOMER-10380,6364.79,19,301,15,0,1,1,1,1,1,credit_card,IN,IN,274,4.98,3183.0,2.0,0,1,0,1,0,0
TXN-10080,CUSTOMER-10493,2805.74,20,670,13,0,0,1,1,1,1,credit_card,IN,IN,234,0.25,2522.51,1.11,0,0,0,3,0,0
TXN-10081,CUSTOMER-12063,2045.01,3,357,13,0,1,1,7,1,1,credit_card,IN,IN,341,1.8,2035.95,1.0,0,0,0,2,0,1
TXN-10082,CUSTOMER-13885,620.5,22,719,7,0,0,1,1,1,0,credit_card,AE,AE,100,4.86,1395.69,0.44,0,1,0,1,0,0
TXN-10083,CUSTOMER-10065,4842.09,21,958,18,1,0,1,6,1,1,debit_card,IN,IN,4,1.33,3598.85,1.35,1,0,0,0,1,1
TXN-10084,CUSTOMER-12569,2303.46,13,858,16,0,2,9,9,1,1,credit_card,IN,IN,4,4.95,1938.95,1.19,0,0,0,1,0,1
TXN-10085,CUSTOMER-12028,2609.82,19,93,16,0,0,1,1,1,1,net_banking,AU,AU,493,2.75,2249.47,1.16,0,0,0,0,0,0
TXN-10086,CUSTOMER-12696,8285.76,21,835,6,0,1,1,3,1,1,credit_card,IN,IN,47,0.35,4206.38,1.97,0,0,0,2,0,0
TXN-10087,CUSTOMER-11496,2774.06,19,550,8,1,0,7,7,1,0,debit_card,IN,IN,47,2.24,2151.8,1.29,0,0,2,4,1,1
TXN-10088,CUSTOMER-10392,6791.63,7,335,11,0,6,1,1,1,1,credit_card,SG,SG,472,0.29,3952.21,1.72,0,0,0,3,0,1
TXN-10089,CUSTOMER-14515,6318.33,10,163,22,0,0,1,2,1,1,credit_card,AE,AE,50,4.52,3637.94,1.74,0,0,2,3,0,0
TXN-10090,CUSTOMER-14475,2807.97,14,902,12,0,0,1,1,1,0,credit_card,IN,IN,438,1.34,1437.38,1.95,0,0,0,2,0,0
TXN-10091,CUSTOMER-13562,5578.1,18,340,27,0,0,1,1,1,1,credit_card,IN,IN,261,0.53,3134.55,1.78,0,0,1,1,0,0
TXN-10092,CUSTOMER-12279,6609.59,7,833,24,4,0,1,5,1,1,upi,US,US,451,2.69,3619.46,1.83,0,0,3,12,1,1
TXN-10093,CUSTOMER-13100,1767.38,12,566,29,0,1,8,8,0,0,debit_card,IN,JP,53,2.42,2781.91,0.64,0,1,0,3,0,1
TXN-10094,CUSTOMER-10201,3794.72,17,71,11,0,1,8,8,1,1,upi,IN,IN,35,4.82,2534.49,1.5,0,0,2,5,0,1
TXN-10095,CUSTOMER-14876,3920.11,21,41,28,0,1,1,1,1,1,credit_card,IN,IN,440,2.23,3603.77,1.09,0,0,1,4,0,0
TXN-10096,CUSTOMER-13105,1864.79,23,410,26,0,1,1,6,1,0,upi,SG,SG,92,2.51,1747.01,1.07,0,0,0,2,0,1
TXN-10097,CUSTOMER-14599,1887.26,16,897,12,0,5,1,1,1,1,credit_card,FR,FR,496,3.08,1418.0,1.33,0,0,0,1,0,1
TXN-10098,CUSTOMER-12455,1025.28,5,837,14,0,1,1,1,1,1,credit_card,IN,IN,87,0.89,1484.62,0.69,0,0,1,1,0,0
TXN-10099,CUSTOMER-13646,1797.9,14,643,11,0,0,1,6,1,1,credit_card,IN,IN,4,1.04,2047.72,0.88,1,1,0,3,0,0
TXN-10100,CUSTOMER-10805,3564.92,12,20,15,0,1,1,2,1,0,credit_card,IN,IN,269,3.52,2204.49,1.62,0,0,1,1,0,0
TXN-10101,CUSTOMER-12732,260.03,17,0,0,0,1,6,6,1,0,credit_card,IN,IN,0,0.0,639.59,0.41,1,0,0,0,0,1
TXN-10102,CUSTOMER-12774,4612.55,10,677,53,0,1,1,1,1,1,credit_card,GB,GB,159,0.61,3119.17,1.48,0,0,0,0,0,0
TXN-10103,CUSTOMER-11571,2891.04,12,571,14,1,0,1,1,1,1,debit_card,JP,JP,425,4.92,1495.06,1.93,0,0,1,3,1,1
TXN-10104,CUSTOMER-12691,2360.02,0,75,14,0,2,2,2,1,1,credit_card,IN,IN,2,4.74,1540.12,1.53,1,0,0,1,0,1
TXN-10105,CUSTOMER-13841,2059.05,17,602,27,0,0,1,6,1,0,debit_card,AE,AE,3,3.58,3001.46,0.69,1,0,9,13,0,1
TXN-10106,CUSTOMER-11029,2315.43,4,397,14,0,3,1,1,1,1,credit_card,IN,IN,492,1.23,2404.21,0.96,0,0,1,1,0,1
TXN-10107,CUSTOMER-10503,3846.79,5,718,22,0,0,1,7,1,1,upi,IN,IN,55,1.77,2768.19,1.39,0,0,0,2,0,0
TXN-10108,CUSTOMER-14494,1817.9,0,87,26,0,1,1,1,1,1,credit_card,IN,IN,40,4.1,2134.03,0.85,0,0,0,0,0,0
TXN-10109,CUSTOMER-10871,1315.77,6,593,17,2,0,1,1,1,1,debit_card,IN,IN,312,4.76,3280.66,0.4,0,0,8,20,1,1
TXN-10110,CUSTOMER-14489,2567.05,3,16,16,0,1,1,1,1,1,credit_card,IN,IN,91,1.01,1898.87,1.35,0,0,0,1,0,0
TXN-10111,CUSTOMER-10207,1629.18,8,328,35,0,0,1,6,0,0,upi,US,JP,252,3.32,2559.27,0.64,0,1,0,3,0,1
TXN-10112,CUSTOMER-11485,4742.34,14,942,6,0,2,1,7,1,1,credit_card,US,US,384,4.42,3694.61,1.28,0,1,0,2,0,1
TXN-10113,CUSTOMER-10864,3471.35,5,209,16,0,0,1,1,1,1,net_banking,AE,AE,449,4.68,3999.91,0.87,0,0,0,1,0,0
TXN-10114,CUSTOMER-12791,2815.05,16,823,21,0,1,1,1,1,1,net_banking,US,US,8,4.37,1741.64,1.62,1,0,8,18,0,1
TXN-10115,CUSTOMER-10564,1676.95,19,382,20,0,0,1,1,1,1,credit_card,JP,JP,200,0.54,1408.43,1.19,0,0,0,2,0,0
TXN-10116,CUSTOMER-14192,3730.63,17,564,18,1,0,1,2,1,1,upi,IN,IN,368,4.78,1972.22,1.89,0,1,0,3,1,1
TXN-10117,CUSTOMER-11758,2285.4,21,639,15,0,1,1,2,1,1,credit_card,US,US,92,3.53,1815.52,1.26,0,1,6,10,0,1
TXN-10118,CUSTOMER-11679,4411.78,3,145,30,0,1,1,7,1,1,upi,IN,IN,382,2.7,2635.32,1.67,0,0,0,2,0,1
TXN-10119,CUSTOMER-13243,1378.08,8,452,31,0,0,1,1,1,1,credit_card,IN,IN,124,1.88,2635.46,0.52,0,0,1,3,0,0
TXN-10120,CUSTOMER-14637,2824.61,13,815,21,3,2,4,4,1,1,credit_card,IN,IN,31,1.29,1945.45,1.45,0,0,2,2,1,1
TXN-10121,CUSTOMER-11060,3799.91,2,392,12,0,0,1,1,1,1,credit_card,IN,IN,275,1.29,2900.39,1.31,0,0,0,1,0,0
TXN-10122,CUSTOMER-11723,13942.96,0,309,15,0,1,1,4,1,1,credit_card,AU,AU,2,3.78,1970.71,7.08,1,0,0,1,0,1
TXN-10123,CUSTOMER-13315,1721.05,10,930,16,0,1,1,7,1,1,upi,US,US,216,2.33,1960.11,0.88,0,0,0,0,0,1
TXN-10124,CUSTOMER-13158,1237.84,0,491,24,0,1,1,1,0,1,upi,JP,JP,5,1.23,771.65,1.6,1,1,0,1,0,1
TXN-10125,CUSTOMER-12626,1672.85,11,759,26,0,0,1,1,1,1,debit_card,SG,SG,0,3.5,3251.13,0.51,1,0,0,0,0,0
TXN-10126,CUSTOMER-12730,627.14,8,429,16,0,1,2,2,1,1,credit_card,AU,AU,6,2.95,974.35,0.64,1,0,0,1,0,0
TXN-10127,CUSTOMER-11598,1289.29,4,0,0,0,0,2,5,1,1,credit_card,GB,GB,6,0.0,1129.73,1.14,1,0,0,1,0,1
TXN-10128,CUSTOMER-13061,1773.55,14,40,21,0,1,5,5,1,1,debit_card,IN,IN,35,0.19,2355.39,0.75,0,0,0,2,0,1
TXN-10129,CUSTOMER-12694,5338.88,17,584,28,0,0,1,1,1,1,debit_card,IN,IN,412,2.94,2708.71,1.97,0,0,8,20,0,1
TXN-10130,CUSTOMER-14892,3217.58,8,671,24,0,0,1,6,1,1,credit_card,US,US,469,2.76,2167.31,1.48,0,0,0,1,0,0
TXN-10131,CUSTOMER-13628,915.01,12,211,13,0,7,1,1,1,1,debit_card,IN,IN,485,1.3,669.93,1.37,0,0,1,1,0,1
TXN-10132,CUSTOMER-11364,5910.27,12,332,15,0,0,1,1,0,0,debit_card,IN,JP,392,2.28,3598.86,1.64,0,1,2,4,0,1
TXN-10133,CUSTOMER-11982,2722.99,23,807,20,0,0,1,1,1,1,upi,IN,IN,86,4.53,2374.36,1.15,0,0,2,4,0,0
TXN-10134,CUSTOMER-11664,7927.77,12,650,26,0,0,1,1,1,1,credit_card,FR,FR,121,2.33,2054.95,3.86,0,1,0,3,0,1
TXN-10135,CUSTOMER-11530,4146.62,9,445,27,0,0,2,2,1,1,net_banking,IN,IN,2,3.32,2255.71,1.84,1,0,2,3,0,1
TXN-10136,CUSTOMER-12039,3155.44,9,941,13,0,1,1,1,1,1,debit_card,FR,FR,252,2.56,2653.79,1.19,0,0,0,0,0,0
TXN-10137,CUSTOMER-13303,4935.33,21,303,7,1,1,1,6,1,1,upi,IN,IN,75,3.99,3558.39,1.39,0,0,0,1,1,1
TXN-10138,CUSTOMER-12238,3034.64,6,554,16,1,5,1,1,1,1,debit_card,IN,IN,246,4.5,1704.99,1.78,0,0,0,2,1,1
TXN-10139,CUSTOMER-11307,3726.22,21,690,12,0,0,1,1,1,1,upi,IN,IN,228,4.88,1992.72,1.87,0,0,0,3,0,0
TXN-10140,CUSTOMER-14030,6016.31,4,700,8,0,0,1,1,1,1,credit_card,IN,IN,17,2.95,3130.48,1.92,0,0,0,1,0,0
TXN-10141,CUSTOMER-12676,4208.75,19,757,18,0,6,1,1,1,1,credit_card,SG,SG,387,0.74,2317.75,1.82,0,1,0,3,0,1
TXN-10142,CUSTOMER-11283,5113.71,6,809,32,0,1,1,1,1,0,credit_card,IN,IN,259,3.57,2983.33,1.71,0,0,2,4,0,1
TXN-10143,CUSTOMER-10710,4934.38,19,153,11,0,0,1,1,1,1,credit_card,IN,IN,188,3.33,2661.15,1.85,0,0,0,0,0,0
TXN-10144,CUSTOMER-14745,3013.33,9,615,16,4,0,1,7,1,1,credit_card,IN,IN,147,3.77,1906.55,1.58,0,0,0,0,1,1
TXN-10145,CUSTOMER-14414,1954.12,9,522,19,0,1,1,6,1,1,credit_card,IN,IN,3,2.97,1677.14,1.17,1,0,0,2,0,1
TXN-10146,CUSTOMER-13749,1033.62,20,24,16,0,1,1,1,1,0,debit_card,IN,IN,132,0.91,620.17,1.67,0,0,0,3,0,0
TXN-10147,CUSTOMER-14780,6144.56,23,807,11,0,2,1,1,1,1,credit_card,SG,SG,7,1.14,3256.57,1.89,1,0,1,1,0,1
TXN-10148,CUSTOMER-10664,1954.74,12,24,23,0,0,1,1,1,0,credit_card,IN,IN,134,3.99,3326.26,0.59,0,0,2,2,0,0
TXN-10149,CUSTOMER-11999,1191.57,14,595,36,1,0,1,1,1,1,upi,IN,IN,86,2.94,978.73,1.22,0,0,0,1,1,1
TXN-10150,CUSTOMER-13446,3341.31,5,105,37,0,0,1,1,1,1,net_banking,IN,IN,278,0.22,2372.57,1.41,0,0,0,1,0,0
TXN-10151,CUSTOMER-13744,1616.74,19,752,22,0,0,1,5,1,1,debit_card,IN,IN,270,2.49,2037.79,0.79,0,0,0,2,0,1
TXN-10152,CUSTOMER-11496,4969.31,11,118,11,0,0,1,1,1,1,credit_card,IN,IN,410,1.47,3887.61,1.28,0,0,0,2,0,0
TXN-10153,CUSTOMER-13305,5893.0,18,970,13,2,0,1,1,1,1,credit_card,SG,SG,302,4.62,3326.04,1.77,0,0,0,0,1,1
TXN-10154,CUSTOMER-13764,6880.29,10,107,16,0,0,1,1,1,1,net_banking,IN,IN,465,1.78,3885.43,1.77,0,0,2,3,0,1
TXN-10155,CUSTOMER-11854,2690.05,5,329,30,0,0,1,1,1,1,credit_card,IN,IN,247,0.45,1684.1,1.6,0,0,1,3,0,0
TXN-10156,CUSTOMER-14660,4842.96,0,179,18,0,1,2,2,0,1,upi,AE,FR,5,0.49,3973.13,1.22,1,1,9,23,0,1
TXN-10157,CUSTOMER-11292,5044.53,1,880,6,0,1,1,1,1,1,credit_card,GB,GB,438,2.66,2817.55,1.79,0,0,0,1,0,0
TXN-10158,CUSTOMER-13582,1341.35,22,130,30,0,0,1,1,1,1,net_banking,SG,SG,180,4.15,2053.22,0.65,0,1,0,1,0,0
TXN-10159,CUSTOMER-13458,2825.84,14,806,16,0,0,1,1,0,1,upi,SG,SG,326,1.32,1495.11,1.89,0,1,2,3,0,1
TXN-10160,CUSTOMER-11637,6343.11,3,602,13,0,0,1,1,1,1,credit_card,IN,IN,458,0.65,3550.52,1.79,0,0,2,4,0,0
TXN-10161,CUSTOMER-13697,2465.63,4,930,25,0,0,1,1,1,0,upi,IN,IN,42,2.14,3084.42,0.8,0,0,0,2,0,0
TXN-10162,CUSTOMER-13000,5822.98,14,752,15,0,7,1,1,1,1,credit_card,AU,AU,303,4.07,3408.77,1.71,0,0,0,3,0,1
TXN-10163,CUSTOMER-13153,1685.38,10,758,19,0,0,1,1,1,1,credit_card,GB,GB,118,4.76,2053.16,0.82,0,0,0,1,0,0
TXN-10164,CUSTOMER-10699,989.18,9,167,29,0,1,1,1,1,1,upi,IN,IN,254,3.1,1502.44,0.66,0,0,0,2,0,0
TXN-10165,CUSTOMER-12161,2570.75,16,222,28,1,1,1,1,0,1,net_banking,IN,SG,47,2.47,1990.02,1.29,0,1,0,1,1,1
TXN-10166,CUSTOMER-14098,2651.4,1,468,15,0,0,1,1,1,1,credit_card,IN,IN,231,2.12,2677.09,0.99,0,1,0,0,0,0
TXN-10167,CUSTOMER-14738,2050.32,19,277,16,0,0,1,3,1,1,credit_card,DE,DE,179,1.78,1289.95,1.59,0,1,0,2,0,0
TXN-10168,CUSTOMER-10855,1715.52,23,189,31,0,0,1,1,1,1,upi,IN,IN,5,2.66,2861.95,0.6,1,1,0,2,0,0
TXN-10169,CUSTOMER-13475,552.07,9,530,17,0,1,1,1,1,1,net_banking,IN,IN,289,0.88,1279.34,0.43,0,0,1,4,0,0
TXN-10170,CUSTOMER-11708,3578.64,19,525,8,0,0,1,1,1,1,upi,GB,GB,91,2.25,2483.54,1.44,0,1,1,4,0,0
TXN-10171,CUSTOMER-12778,3303.74,2,996,27,0,1,1,1,1,0,credit_card,US,US,62,0.48,2095.71,1.58,0,0,0,3,0,0
TXN-10172,CUSTOMER-11734,6130.84,18,754,34,0,1,1,6,1,1,debit_card,IN,IN,356,0.43,3432.79,1.79,0,0,0,0,0,1
TXN-10173,CUSTOMER-14932,9786.31,4,620,8,0,1,1,1,0,1,credit_card,IN,US,332,1.79,1729.35,5.66,0,1,0,0,0,1
